,Season,Team,Avg FG3%,Avg FG%,Avg FT%,AvgTO,avgScore,avgBlk,avgDr,avgAst,avgPf,avgStl,avgOR,Home Win,Neutral Win,Away Win,Wins,Losses,Upsets,Games,AvgWinRank,AvgLossRank,AvgOffRating,AvgDefRating,AvgNetRating,Top 25 Wins,Top 10 Wins
2011_1180,2011,1180,30.95,42.39,61.58,11.94,63.71,2.74,26.65,11.23,18.81,4.1,13.65,12,1,8,21,10,3,31,174.57,94.9,100.73,93.23,7.5,2,0
2011_1181,2011,1181,37.52,46.89,74.97,12.24,81.06,4.41,25.97,14.41,17.88,7.47,12.29,17,7,6,30,4,0,34,112.97,37.25,114.79,91.05,23.74,3,2
2011_1182,2011,1182,35.09,45.24,62.26,13.17,76.62,5.24,22.31,17.59,18.97,9.79,12.41,10,0,7,17,12,2,29,188.71,74.08,106.97,94.16,12.81,0,0
2011_1183,2011,1183,32.12,41.89,71.67,14.07,59.7,2.59,23.11,12.22,18.96,5.63,10.52,3,0,4,7,20,4,27,237.71,209.2,94.12,103.15,-9.03,0,0
2011_1184,2011,1184,35.92,43.32,73.78,12.0,64.14,2.34,19.55,13.31,18.66,5.86,8.07,6,1,6,13,16,3,29,275.62,176.62,102.89,104.44,-1.55,0,0
2011_1185,2011,1185,31.82,38.23,62.2,14.79,59.61,3.68,23.86,12.68,20.18,6.5,10.0,5,0,1,6,22,3,28,264.5,184.18,88.98,97.4,-8.42,0,0
2011_1186,2011,1186,36.04,39.69,66.19,13.54,64.82,3.86,21.43,11.18,20.5,5.46,11.71,6,0,2,8,20,4,28,238.38,172.85,97.56,106.99,-9.43,0,0
2011_1187,2011,1187,35.96,42.12,69.31,13.5,67.23,2.67,22.07,12.47,19.87,6.5,10.3,8,3,4,15,15,7,30,162.27,84.07,102.5,104.23,-1.73,0,0
2011_1188,2011,1188,32.41,40.61,67.26,16.92,62.2,2.84,21.32,12.52,21.28,5.32,7.68,2,2,0,4,21,4,25,312.75,195.48,86.88,113.88,-27.0,0,0
2011_1189,2011,1189,35.42,42.01,72.24,12.54,72.29,2.46,22.93,13.46,19.68,5.18,9.96,5,1,5,11,17,3,28,280.0,152.24,104.14,108.64,-4.5,0,0
2011_1190,2011,1190,33.47,44.37,66.8,13.62,67.94,3.88,24.53,10.38,18.59,6.38,11.72,10,2,9,21,11,1,32,215.29,126.0,102.44,97.15,5.29,0,0
2011_1191,2011,1191,34.31,43.99,71.11,13.0,65.31,1.86,22.07,13.79,20.72,5.55,8.1,11,0,3,14,15,5,29,180.07,126.53,98.63,101.93,-3.3,0,0
2011_1192,2011,1192,32.05,39.74,67.5,15.1,64.34,3.52,24.69,11.66,19.14,5.72,12.62,3,0,2,5,24,4,29,267.2,181.21,93.4,107.01,-13.61,0,0
2011_1193,2011,1193,30.71,43.23,65.92,14.1,65.16,3.74,24.16,13.61,17.55,8.19,12.26,13,2,9,24,7,4,31,220.79,109.71,98.37,87.63,10.74,0,0
2011_1194,2011,1194,32.49,43.92,65.06,11.34,67.14,4.79,21.9,11.86,18.48,6.03,11.07,8,2,9,19,10,2,29,217.79,148.6,103.15,102.4,0.76,0,0
2011_1195,2011,1195,32.96,40.13,65.11,16.67,65.67,2.17,23.37,12.07,18.63,6.3,13.23,6,0,4,10,20,4,30,283.4,155.65,93.78,103.7,-9.92,0,0
2011_1196,2011,1196,35.59,46.17,66.67,12.42,71.55,3.55,24.42,13.73,14.42,5.88,13.09,14,3,9,26,7,1,33,98.81,68.57,109.46,96.8,12.66,3,1
2011_1197,2011,1197,29.91,38.37,61.66,16.32,61.54,3.93,23.82,8.64,19.18,7.04,12.96,7,0,1,8,20,7,28,247.62,228.45,89.8,100.88,-11.09,0,0
2011_1198,2011,1198,32.97,43.45,68.69,14.79,71.14,3.61,22.14,10.46,21.25,8.14,11.39,6,1,2,9,19,7,28,259.22,176.58,100.9,108.11,-7.21,0,0
2011_1199,2011,1199,33.05,43.6,66.31,16.13,69.32,5.74,26.58,12.48,19.26,8.77,12.45,12,1,8,21,10,1,31,174.38,58.8,98.61,89.48,9.13,1,1
2011_1200,2011,1200,33.64,39.61,63.02,14.04,64.11,4.39,24.71,12.5,18.36,4.18,13.18,6,0,1,7,21,3,28,220.86,115.05,94.95,108.85,-13.9,0,0
2011_1201,2011,1201,29.48,42.27,63.2,13.7,67.4,3.53,23.53,14.2,18.3,8.4,12.27,10,0,3,13,17,4,30,239.46,115.76,98.76,101.96,-3.21,0,0
2011_1202,2011,1202,37.32,44.68,73.07,13.1,68.47,3.17,23.17,12.13,19.0,5.03,10.73,9,2,9,20,10,1,30,236.3,106.4,107.25,100.95,6.29,0,0
2011_1203,2011,1203,33.64,41.49,62.69,12.77,64.87,3.97,22.26,11.97,18.35,6.42,13.26,9,1,7,17,14,3,31,201.06,101.21,100.04,100.85,-0.81,0,0
2011_1204,2011,1204,32.41,43.59,67.84,17.72,62.48,2.52,19.72,11.52,22.28,8.41,9.9,2,0,0,2,27,2,29,258.5,191.74,91.32,108.83,-17.51,0,0
2011_1205,2011,1205,32.81,41.03,64.16,14.87,61.03,2.2,22.27,10.03,19.0,6.9,10.77,4,2,3,9,21,7,30,232.0,167.19,93.26,102.62,-9.35,0,0
2011_1206,2011,1206,39.67,47.4,69.0,10.94,73.34,3.31,24.5,14.31,17.16,6.75,10.59,14,2,10,26,6,1,32,157.54,76.5,112.69,94.65,18.03,1,0
2011_1207,2011,1207,36.03,47.79,73.15,13.42,71.03,4.45,23.65,15.13,18.61,6.13,10.06,10,4,7,21,10,0,31,101.14,21.4,108.43,101.29,7.13,4,0
2011_1208,2011,1208,34.01,45.15,69.6,13.41,68.81,5.03,25.34,15.19,16.5,6.5,12.38,12,2,7,21,11,3,32,167.19,30.18,104.5,96.86,7.64,1,1
2011_1209,2011,1209,34.96,42.18,59.38,14.94,61.9,4.77,23.13,13.03,21.23,6.48,12.45,8,2,2,12,19,6,31,220.92,133.21,95.1,99.17,-4.07,0,0
2011_1210,2011,1210,29.86,40.54,68.93,13.68,67.81,4.06,22.81,13.16,20.61,9.58,12.71,10,2,1,13,18,5,31,167.38,101.83,97.01,96.72,0.29,1,1
2011_1211,2011,1211,35.64,47.44,75.95,13.53,75.88,3.62,25.88,14.91,18.69,7.34,11.47,13,4,6,23,9,3,32,179.87,57.44,110.53,94.85,15.68,1,0
2011_1212,2011,1212,29.86,38.03,61.39,15.33,60.55,2.76,24.91,10.24,20.91,6.48,11.36,4,3,5,12,21,6,33,303.67,218.0,87.29,96.84,-9.55,0,0
2011_1214,2011,1214,32.15,40.43,64.71,12.13,66.9,5.71,24.48,11.81,18.48,7.32,11.1,8,7,8,23,8,3,31,248.26,227.0,98.14,90.57,7.57,0,0
2011_1216,2011,1216,30.49,38.27,60.05,12.52,59.9,2.48,20.52,11.84,18.48,7.87,10.45,8,0,3,11,20,9,31,236.36,189.25,92.29,100.0,-7.71,0,0
2011_1217,2011,1217,37.99,47.58,80.68,13.11,71.74,4.44,23.3,14.3,15.67,5.81,9.0,12,0,9,21,6,0,27,196.86,54.33,112.07,100.28,11.79,0,0
2011_1218,2011,1218,36.0,45.02,69.24,15.9,68.76,4.17,25.24,11.97,19.76,5.38,10.1,12,1,4,17,12,6,29,226.53,113.5,100.25,98.2,2.05,0,0
2011_1219,2011,1219,34.69,41.06,67.11,15.24,64.62,2.86,21.69,10.9,21.41,6.93,11.52,7,0,3,10,19,7,29,225.9,179.0,94.07,106.55,-12.48,0,0
2011_1220,2011,1220,35.45,43.73,76.6,10.29,69.77,4.1,21.9,13.16,17.87,6.29,9.71,9,1,10,20,11,2,31,194.6,71.27,107.03,106.86,0.17,1,0
2011_1221,2011,1221,32.6,44.07,64.99,13.34,67.21,3.76,25.0,13.28,18.28,4.07,11.72,4,0,4,8,21,4,29,274.88,161.1,100.37,104.22,-3.85,0,0
2011_1222,2011,1222,38.12,45.6,67.16,15.61,67.68,4.18,23.29,12.89,20.61,5.68,9.86,8,0,2,10,18,8,28,192.9,138.78,99.4,104.95,-5.55,0,0
2011_1223,2011,1223,33.13,40.34,67.76,16.41,69.28,2.59,22.55,11.62,22.07,8.38,12.14,4,1,0,5,24,5,29,286.4,251.25,93.17,107.14,-13.97,0,0
2011_1224,2011,1224,31.04,37.63,62.3,15.87,58.43,2.13,21.37,9.3,19.23,6.07,13.2,6,0,0,6,24,5,30,286.67,199.46,89.0,105.84,-16.84,0,0
2011_1225,2011,1225,38.24,45.88,72.48,14.6,67.1,2.93,23.67,14.1,16.77,6.47,9.33,9,0,8,17,13,2,30,217.06,134.69,102.71,99.99,2.71,1,0
2011_1226,2011,1226,30.15,40.52,70.38,13.0,64.11,3.26,21.22,9.19,18.96,6.78,12.04,5,1,1,7,20,5,27,256.57,168.85,96.98,111.3,-14.32,0,0
2011_1227,2011,1227,30.93,42.16,67.07,16.0,61.63,2.7,23.57,11.3,17.83,4.4,12.4,3,2,1,6,24,3,30,215.17,133.42,93.54,105.64,-12.1,0,0
2011_1228,2011,1228,38.69,46.76,72.87,12.72,71.28,4.62,24.59,16.59,17.59,5.56,10.22,14,2,3,19,13,4,32,124.68,61.46,107.14,98.38,8.76,2,1
2011_1229,2011,1229,31.03,42.53,70.76,13.35,61.06,4.0,23.97,11.16,18.32,4.94,10.06,10,0,2,12,19,6,31,265.92,120.89,96.47,101.08,-4.61,0,0
2011_1231,2011,1231,34.62,46.06,72.63,12.97,69.56,2.62,22.19,12.28,21.41,6.28,10.59,12,0,0,12,20,5,32,200.92,57.7,106.38,104.55,1.83,0,0
2011_1232,2011,1232,35.47,42.43,71.25,14.06,65.84,4.28,24.41,12.38,20.31,6.0,10.53,9,4,6,19,13,3,32,175.11,118.92,100.44,98.76,1.68,0,0
2011_1233,2011,1233,36.96,47.42,65.28,12.76,79.0,3.21,24.42,17.36,18.03,7.45,12.15,11,2,9,22,11,1,33,192.09,122.0,111.92,98.46,13.46,0,0
2011_1234,2011,1234,31.4,43.95,67.55,14.42,67.23,2.87,23.03,13.65,16.48,6.71,11.97,8,1,2,11,20,4,31,186.55,69.9,98.68,101.37,-2.69,1,0
2011_1235,2011,1235,36.81,43.65,72.11,12.53,74.84,3.69,25.59,15.0,16.38,6.75,11.0,13,1,2,16,16,4,32,210.44,57.56,104.79,98.53,6.26,0,0
2011_1236,2011,1236,38.38,45.51,77.02,12.21,73.28,2.76,22.21,14.31,21.59,4.76,9.17,10,0,7,17,12,2,29,275.29,107.75,108.32,103.84,4.49,0,0
2011_1237,2011,1237,34.98,46.56,78.31,11.19,70.26,2.45,20.84,10.39,15.19,6.0,10.39,7,3,7,17,14,1,31,226.76,111.86,110.55,108.86,1.69,0,0
2011_1238,2011,1238,33.33,41.43,64.55,15.17,64.5,2.97,21.87,13.0,21.3,7.73,12.27,7,1,7,15,15,1,30,301.6,188.73,96.3,95.91,0.38,0,0
2011_1239,2011,1239,29.78,42.11,67.33,15.03,67.45,3.93,23.76,11.93,21.38,8.17,13.28,10,0,8,18,11,3,29,232.94,155.36,97.16,94.78,2.39,1,1
2011_1240,2011,1240,36.54,42.26,64.94,14.21,60.31,3.62,18.52,12.17,19.9,6.31,10.38,1,1,2,4,25,4,29,292.25,203.52,95.45,104.66,-9.21,0,0
2011_1241,2011,1241,38.1,46.11,71.17,12.62,71.56,3.66,24.84,13.88,17.97,5.34,10.28,11,0,10,21,11,7,32,178.52,89.0,107.02,101.58,5.44,0,0
2011_1242,2011,1242,38.71,51.35,68.09,13.47,82.38,4.15,26.88,17.88,17.88,7.94,11.68,16,7,9,32,2,0,34,99.72,17.0,116.96,92.85,24.1,3,0
2011_1243,2011,1243,37.44,43.51,65.13,14.97,72.71,4.65,23.13,14.13,20.45,6.23,14.65,15,1,5,21,10,2,31,129.57,36.0,105.09,96.04,9.05,2,1
2011_1244,2011,1244,30.59,41.28,64.86,14.37,64.5,3.8,21.9,11.0,16.97,5.47,12.27,5,0,2,7,23,7,30,276.0,170.7,95.97,111.61,-15.64,0,0
2011_1245,2011,1245,32.96,43.26,66.48,12.85,70.15,4.03,23.7,13.58,17.3,7.7,13.55,13,4,5,22,11,1,33,205.23,88.55,103.19,97.51,5.68,0,0
2011_1246,2011,1246,39.71,46.04,71.77,10.67,76.42,6.27,26.0,12.7,16.09,5.48,12.09,15,7,3,25,8,0,33,111.16,49.0,114.36,95.26,19.1,4,3
2011_1247,2011,1247,36.43,44.59,70.88,15.55,76.85,4.03,24.61,15.03,18.67,7.42,13.97,8,2,5,15,18,6,33,198.93,88.61,104.03,106.93,-2.9,0,0
2011_1248,2011,1248,35.27,42.65,75.93,13.52,69.1,2.42,23.19,14.68,20.16,6.03,8.81,7,0,5,12,19,1,31,279.58,135.32,100.92,105.39,-4.47,0,0
2011_1249,2011,1249,35.03,41.63,68.46,15.0,76.65,3.96,24.31,13.08,22.62,6.81,15.0,4,1,4,9,17,6,26,281.33,196.76,102.09,103.7,-1.61,0,0
2011_1250,2011,1250,32.76,41.72,75.54,12.97,73.61,3.84,25.35,12.0,19.13,7.61,11.32,9,0,7,16,15,3,31,243.81,169.93,102.45,99.88,2.57,0,0
2011_1251,2011,1251,32.32,42.49,68.28,15.34,66.1,3.17,23.93,12.24,19.28,6.55,13.41,9,2,5,16,13,2,29,245.06,145.15,98.37,99.47,-1.1,0,0
2011_1252,2011,1252,33.1,45.31,70.5,15.41,75.31,2.07,24.93,15.07,20.34,7.97,11.83,9,0,7,16,13,3,29,240.88,124.54,104.31,102.08,2.23,0,0
2011_1253,2011,1253,33.86,44.45,67.25,14.06,72.35,2.03,24.97,13.19,15.87,5.81,11.84,9,4,7,20,11,0,31,219.0,122.18,103.38,100.3,3.08,0,0
2011_1254,2011,1254,36.59,46.62,64.48,15.34,82.59,3.44,27.38,15.12,17.25,7.34,14.47,14,0,13,27,5,0,32,224.81,121.2,109.47,98.19,11.28,0,0
2011_1255,2011,1255,33.99,43.81,69.45,14.04,71.74,1.44,21.33,15.07,19.3,5.44,9.52,6,1,1,8,19,7,27,278.38,193.53,99.7,115.82,-16.12,0,0
2011_1256,2011,1256,32.86,41.6,65.17,16.68,63.26,2.35,24.58,10.1,20.52,5.55,11.06,7,2,2,11,20,5,31,249.55,151.15,92.25,100.37,-8.12,0,0
2011_1257,2011,1257,36.07,45.24,66.94,13.03,75.35,4.94,23.97,17.47,19.21,9.21,12.59,19,2,4,25,9,4,34,116.52,40.67,108.14,93.66,14.48,7,2
2011_1258,2011,1258,32.35,42.63,68.9,13.87,69.57,4.07,24.67,13.43,19.03,6.5,12.93,6,1,2,9,21,4,30,243.33,154.24,100.19,104.52,-4.32,0,0
2011_1259,2011,1259,33.9,41.68,70.56,13.2,67.43,4.33,22.47,11.9,19.4,6.5,12.97,8,0,7,15,15,3,30,232.2,123.13,101.99,100.31,1.68,0,0
2011_1260,2011,1260,36.17,42.76,73.71,12.77,69.45,3.55,22.39,12.35,17.45,6.0,12.45,9,0,7,16,15,6,31,233.38,100.73,105.26,101.13,4.12,0,0
2011_1261,2011,1261,31.19,39.98,66.46,14.41,62.22,3.31,23.19,11.38,19.44,6.38,11.5,8,0,3,11,21,3,32,245.0,95.43,93.24,100.57,-7.33,0,0
2011_1263,2011,1263,35.01,45.46,69.97,12.86,68.76,3.34,23.76,12.86,17.97,5.38,9.86,6,0,8,14,15,4,29,226.71,201.53,105.42,103.66,1.76,0,0
2011_1264,2011,1264,29.89,40.35,69.91,13.52,60.06,4.0,21.81,9.68,16.81,6.45,11.9,3,0,3,6,25,4,31,253.83,144.2,93.08,108.29,-15.22,0,0
2011_1265,2011,1265,31.13,38.18,71.22,14.55,59.97,2.64,23.64,9.61,19.88,5.03,9.88,4,1,1,6,27,6,33,249.5,148.52,90.5,108.59,-18.09,0,0
2011_1266,2011,1266,35.24,46.77,69.13,11.97,76.09,3.62,23.79,15.82,16.88,7.18,12.41,14,2,4,20,14,5,34,159.45,27.5,111.07,101.93,9.15,5,1
2011_1267,2011,1267,33.14,44.72,68.09,13.32,72.58,3.65,24.94,12.42,20.26,4.65,12.74,12,2,6,20,11,2,31,169.1,67.27,106.81,100.38,6.43,1,0
2011_1268,2011,1268,34.79,47.07,67.66,13.64,76.85,4.55,26.15,16.88,16.64,6.73,12.85,14,1,4,19,14,4,33,198.84,42.71,106.88,94.45,12.43,0,0
2011_1269,2011,1269,28.6,39.69,66.13,13.76,65.69,3.86,24.41,11.17,20.97,6.31,13.21,7,3,4,14,15,8,29,159.64,117.73,96.0,99.89,-3.88,0,0
2011_1270,2011,1270,34.93,42.85,74.32,12.46,71.79,3.25,23.32,10.86,19.96,6.11,11.46,11,2,4,17,11,0,28,260.29,157.27,105.81,104.25,1.56,0,0
2011_1271,2011,1271,28.33,39.75,64.1,14.31,65.79,1.66,21.48,11.86,21.45,6.24,12.72,5,1,1,7,22,4,29,299.86,200.91,92.45,109.99,-17.55,0,0
2011_1272,2011,1272,32.69,45.03,67.94,15.29,72.03,5.35,23.59,14.59,20.24,8.53,12.09,17,3,5,25,9,0,34,141.72,81.22,102.56,98.24,4.31,0,0
2011_1273,2011,1273,32.85,41.58,68.87,13.88,67.28,2.69,21.88,11.91,21.31,7.34,10.56,9,1,4,14,18,5,32,245.64,134.5,98.94,100.74,-1.8,0,0
2011_1274,2011,1274,38.51,44.15,71.95,14.06,71.18,3.48,24.45,11.7,18.03,5.85,11.94,11,4,4,19,14,3,33,166.26,58.36,107.17,101.69,5.48,1,0
2011_1275,2011,1275,34.82,42.89,72.77,14.26,66.29,2.68,23.52,11.16,17.16,4.71,9.48,11,0,4,15,16,3,31,204.4,89.19,99.88,107.84,-7.96,1,0
2011_1276,2011,1276,35.42,44.24,70.04,10.16,65.5,2.06,23.53,13.41,16.78,4.69,8.06,13,1,5,19,13,6,32,134.95,41.54,105.44,100.82,4.61,0,0
2011_1277,2011,1277,34.77,42.95,69.74,13.31,68.12,4.97,25.25,14.88,18.84,6.31,11.94,12,4,2,18,14,4,32,129.56,36.0,102.21,100.24,1.98,2,0
2011_1278,2011,1278,32.07,45.36,65.98,13.32,68.94,5.45,25.26,15.71,16.26,6.81,12.81,11,3,3,17,14,4,31,141.82,57.64,105.71,103.31,2.4,3,1
2011_1279,2011,1279,34.93,44.28,75.71,12.67,73.91,5.39,23.85,12.24,18.76,5.33,12.24,13,3,4,20,13,4,33,163.8,78.62,109.46,102.11,7.35,1,1
2011_1280,2011,1280,36.18,43.45,72.3,13.29,69.84,4.13,26.23,12.65,15.19,5.26,9.87,12,1,4,17,14,4,31,174.24,93.29,103.61,103.15,0.46,1,1
2011_1281,2011,1281,36.38,46.08,73.56,12.53,80.84,4.97,22.38,16.22,20.59,9.72,12.16,16,4,2,22,10,3,32,157.68,32.2,109.98,98.66,11.32,2,0
2011_1282,2011,1282,34.87,43.68,66.15,14.1,69.97,2.55,21.55,10.76,19.69,6.1,10.79,10,0,5,15,14,2,29,284.47,126.07,102.87,108.79,-5.92,0,0
2011_1283,2011,1283,37.02,45.32,72.81,10.48,69.18,3.0,22.61,13.15,17.3,5.0,10.58,15,3,7,25,8,0,33,178.92,82.88,111.09,100.09,10.99,0,0
2011_1284,2011,1284,32.48,40.75,63.95,14.63,60.6,2.1,23.3,12.53,17.33,6.77,10.83,5,2,2,9,21,6,30,277.33,151.0,93.88,101.24,-7.36,0,0
2011_1285,2011,1285,31.02,45.63,66.34,12.14,65.93,4.59,24.55,13.0,17.21,6.34,10.07,11,1,7,19,10,2,29,227.0,141.3,103.15,94.5,8.65,0,0
2011_1286,2011,1286,32.93,40.45,65.0,12.17,65.28,2.28,22.14,11.66,17.93,5.38,11.34,7,2,2,11,18,4,29,247.09,178.39,99.2,105.5,-6.29,0,0
2011_1287,2011,1287,34.26,45.33,67.7,15.06,68.87,3.26,23.16,12.13,19.19,8.45,13.77,12,2,8,22,9,1,31,221.27,155.0,106.29,96.46,9.83,0,0
2011_1288,2011,1288,29.57,41.97,68.15,15.16,66.48,3.81,23.68,12.0,20.16,6.19,13.06,10,3,4,17,14,5,31,261.18,184.79,97.73,97.74,-0.0,0,0
2011_1290,2011,1290,32.38,40.54,66.48,17.34,68.31,2.84,25.44,12.28,22.78,7.09,12.25,7,1,5,13,19,1,32,313.62,156.89,92.77,100.68,-7.91,0,0
2011_1291,2011,1291,32.47,41.88,67.99,14.84,60.62,3.5,22.47,11.81,19.25,5.84,9.53,8,0,3,11,21,3,32,253.55,139.0,92.59,100.63,-8.04,0,0
2011_1292,2011,1292,34.18,42.54,71.07,15.32,68.65,3.61,22.58,10.48,23.74,8.65,12.03,9,2,4,15,16,4,31,245.27,162.31,99.88,97.74,2.14,0,0
2011_1293,2011,1293,37.72,44.92,71.32,14.0,66.9,2.83,21.1,13.24,18.79,7.48,10.66,11,1,9,21,8,2,29,232.14,148.12,104.74,96.41,8.34,0,0
2011_1294,2011,1294,38.37,42.61,77.21,14.48,71.03,1.9,23.79,11.59,19.45,5.79,11.79,12,1,6,19,10,0,29,234.0,132.3,106.72,99.82,6.89,0,0
2011_1295,2011,1295,36.66,46.14,69.38,13.04,73.96,2.44,23.85,13.11,19.63,5.56,11.81,8,2,2,12,15,5,27,247.42,157.8,107.31,103.74,3.57,0,0
2011_1296,2011,1296,32.23,42.09,69.59,14.31,68.07,2.48,25.24,12.07,20.34,5.34,11.24,5,0,3,8,21,3,29,287.12,174.9,97.69,105.63,-7.94,0,0
2011_1298,2011,1298,29.88,39.48,71.23,14.97,67.97,2.4,22.7,12.3,20.67,8.97,8.4,5,1,4,10,20,7,30,251.3,201.95,92.76,99.41,-6.65,0,0
2011_1299,2011,1299,33.33,42.33,67.39,14.76,69.9,4.14,24.21,11.69,16.97,6.21,11.31,8,0,4,12,17,3,29,275.75,178.94,99.24,107.52,-8.28,0,0
2011_1300,2011,1300,35.17,43.45,71.18,15.46,65.96,2.81,21.27,10.92,21.04,6.88,9.58,5,0,6,11,15,4,26,301.09,183.87,97.57,105.32,-7.75,0,0
2011_1301,2011,1301,32.86,43.95,69.42,12.13,70.68,4.45,24.26,14.26,17.19,6.16,12.9,11,3,1,15,16,4,31,217.8,44.38,104.15,104.26,-0.11,1,0
2011_1304,2011,1304,32.14,46.47,69.98,13.39,66.94,3.68,26.13,13.19,17.16,6.48,9.32,17,1,1,19,12,7,31,174.32,68.08,102.63,92.23,10.4,1,0
2011_1305,2011,1305,34.85,42.32,68.03,14.26,69.9,3.58,24.48,11.23,20.32,4.77,12.13,8,1,3,12,19,6,31,190.75,132.11,100.98,104.1,-3.12,0,0
2011_1306,2011,1306,28.89,37.06,61.05,12.0,57.59,3.07,23.17,9.62,18.34,4.24,12.03,6,1,4,11,18,4,29,266.09,184.33,92.19,98.47,-6.28,0,0
2011_1307,2011,1307,35.04,45.75,71.39,13.44,73.38,3.31,25.53,15.25,19.19,6.03,11.78,12,2,6,20,12,5,32,163.6,72.42,108.55,98.11,10.44,2,2
2011_1308,2011,1308,32.94,44.3,67.77,14.74,70.68,3.58,22.94,12.16,18.58,6.39,11.13,10,1,3,14,17,3,31,194.64,93.82,101.26,102.2,-0.95,0,0
2011_1310,2011,1310,27.53,37.23,66.01,14.03,61.44,3.44,21.56,10.47,19.25,8.0,11.59,6,1,2,9,23,6,32,229.33,159.17,89.86,102.27,-12.4,0,0
2011_1311,2011,1311,32.22,42.39,69.78,12.42,62.04,1.08,19.54,12.79,18.96,7.04,8.67,7,0,3,10,14,5,24,265.0,169.57,99.0,100.84,-1.84,0,0
2011_1312,2011,1312,35.48,41.69,62.12,13.23,67.35,3.46,24.54,12.04,21.46,5.54,10.77,6,0,5,11,15,2,26,323.55,212.27,96.85,102.15,-5.3,0,0
2011_1313,2011,1313,30.66,43.66,67.76,16.09,69.94,5.72,24.38,12.88,21.69,6.38,11.34,7,2,3,12,20,5,32,284.17,183.35,97.71,105.14,-7.43,0,0
2011_1314,2011,1314,33.33,44.95,66.28,13.52,76.67,5.33,28.33,15.33,16.24,6.12,14.18,15,4,7,26,7,1,33,101.38,49.57,105.4,94.16,11.24,2,2
2011_1315,2011,1315,33.97,41.94,66.47,14.59,67.21,3.76,25.14,12.03,20.28,6.17,10.28,7,4,4,15,14,1,29,327.53,190.86,96.55,100.09,-3.54,0,0
2011_1316,2011,1316,32.95,43.54,66.08,16.74,64.94,3.12,21.68,11.88,20.5,5.91,10.29,4,4,7,15,19,3,34,253.8,100.95,95.91,103.39,-7.48,0,0
2011_1317,2011,1317,37.39,48.06,75.43,13.42,75.52,2.26,25.55,12.26,18.29,4.03,9.58,12,4,4,20,11,1,31,226.3,192.0,109.78,104.64,5.14,0,0
2011_1318,2011,1318,37.92,44.66,75.04,12.48,66.58,2.26,19.45,13.77,19.19,6.81,9.48,6,2,3,11,20,4,31,183.73,98.55,104.18,111.57,-7.4,0,0
2011_1319,2011,1319,42.4,48.44,67.39,13.21,70.62,3.97,23.83,16.83,19.1,5.86,9.45,10,1,6,17,12,3,29,253.35,150.0,106.83,100.02,6.82,0,0
2011_1320,2011,1320,34.2,42.6,75.78,9.26,62.87,1.77,21.23,10.39,17.06,4.97,7.61,11,2,5,18,13,4,31,187.61,107.46,105.34,102.53,2.82,0,0
2011_1321,2011,1321,37.6,45.13,72.46,9.84,71.61,3.23,20.84,16.45,17.42,6.71,8.74,12,2,4,18,13,5,31,182.0,32.85,110.42,106.68,3.74,0,0
2011_1322,2011,1322,34.55,44.21,63.62,16.79,76.62,7.07,22.14,12.9,23.17,8.66,13.69,11,0,5,16,13,4,29,273.75,185.23,102.19,105.14,-2.95,0,0
2011_1323,2011,1323,39.18,46.6,72.51,10.69,76.0,3.69,26.0,16.72,15.03,4.59,10.94,17,4,5,26,6,0,32,113.62,25.5,116.58,100.99,15.6,6,1
2011_1324,2011,1324,37.71,49.47,71.77,13.67,85.09,5.45,26.3,16.09,18.61,6.15,12.45,9,5,10,24,9,1,33,214.38,54.44,116.53,105.94,10.6,0,0
2011_1325,2011,1325,35.45,43.71,71.99,13.55,74.73,2.48,23.88,15.3,20.73,8.06,12.18,11,1,6,18,15,6,33,213.56,122.27,106.14,102.28,3.86,0,0
2011_1326,2011,1326,41.28,49.37,70.49,10.18,77.09,3.32,23.29,15.62,14.26,7.18,11.21,20,3,9,32,2,0,34,107.31,14.0,119.4,93.59,25.81,3,1
2011_1328,2011,1328,33.98,44.7,74.22,13.74,66.03,2.81,21.87,12.58,18.42,5.65,8.48,12,1,1,14,17,4,31,194.21,52.41,100.58,104.67,-4.09,0,0
2011_1329,2011,1329,29.74,43.4,72.26,13.66,68.22,2.84,23.5,10.06,21.06,6.78,11.28,13,5,1,19,13,3,32,155.63,56.85,101.3,99.08,2.23,1,0
2011_1330,2011,1330,32.86,44.14,66.36,12.39,65.85,4.36,24.7,14.45,14.73,6.82,15.48,14,6,7,27,6,0,33,141.85,56.17,109.02,95.27,13.74,2,0
2011_1331,2011,1331,36.91,47.68,71.72,12.79,75.24,2.85,22.32,12.79,20.26,5.59,12.03,9,3,7,19,15,4,34,220.21,110.73,111.66,107.63,4.02,0,0
2011_1332,2011,1332,33.99,41.47,73.73,12.25,68.59,2.66,21.41,13.44,18.34,7.91,10.84,10,2,3,15,17,5,32,165.8,80.82,100.47,101.65,-1.18,0,0
2011_1333,2011,1333,30.36,42.68,68.13,15.23,69.26,2.19,22.03,12.06,18.55,9.45,12.29,9,1,1,11,20,6,31,187.55,109.0,98.7,104.35,-5.65,1,0
2011_1334,2011,1334,35.28,43.35,69.47,11.69,64.79,1.83,23.55,13.66,15.24,4.45,9.83,6,2,6,14,15,5,29,220.71,167.87,104.21,101.67,2.54,0,0
2011_1335,2011,1335,36.85,45.42,73.69,13.79,66.71,2.32,21.75,13.61,18.07,6.14,7.96,7,2,4,13,15,4,28,223.92,112.13,101.83,104.57,-2.74,0,0
